資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20240419,0056,16,2,7213203,0.10
20240419,0056,17,1052056,7148034000,100.00
20240419,0057,1,144,17319,1.13
20240419,0057,2,76,118845,7.78
20240419,0057,3,7,62301,4.07
20240419,0057,4,3,38000,2.48
20240419,0057,5,0,0,0.00
20240419,0057,6,4,105000,6.87
20240419,0057,7,1,32000,2.09
20240419,0057,8,0,0,0.00
20240419,0057,9,2,159000,10.41
20240419,0057,10,2,307000,20.10
20240419,0057,11,1,214000,14.01
20240419,0057,12,1,473535,31.01
20240419,0057,13,0,0,0.00
20240419,0057,14,0,0,0.00
20240419,0057,15,0,0,0.00
20240419,0057,16,0,0,0.00
20240419,0057,17,241,1527000,100.00
20240419,0061,1,634,167952,0.12
20240419,0061,2,4656,10983657,8.31
20240419,0061,3,1210,10067513,7.62
20240419,0061,4,400,5255676,3.97
20240419,0061,5,328,6168592,4.66
20240419,0061,6,307,8039330,6.08
20240419,0061,7,137,5057580,3.82
20240419,0061,8,105,5004558,3.78
20240419,0061,9,223,16483383,12.47
20240419,0061,10,94,12629701,9.55
20240419,0061,11,42,11924893,9.02
20240419,0061,12,9,4540000,3.43
20240419,0061,13,7,4805000,3.63
20240419,0061,14,3,2661000,2.01
20240419,0061,15,7,28327165,21.44
20240419,0061,16,0,0,0.00
20240419,0061,17,8162,132116000,100.00
20240419,006201,1,333,58859,0.39
20240419,006201,2,954,2020246,13.51
20240419,006201,3,157,1266907,8.47
20240419,006201,4,52,667656,4.46
20240419,006201,5,28,518772,3.47
20240419,006201,6,23,597203,3.99
20240419,006201,7,9,311827,2.08
20240419,006201,8,3,149000,0.99
20240419,006201,9,8,558000,3.73
20240419,006201,10,3,457530,3.06
20240419,006201,11,2,518000,3.46
20240419,006201,12,1,405000,2.70
20240419,006201,13,1,747000,4.99
20240419,006201,14,1,893000,5.97
20240419,006201,15,1,5777000,38.65
20240419,006201,16,0,0,0.00
20240419,006201,17,1576,14946000,100.00
20240419,006203,1,432,80517,0.78
20240419,006203,2,350,583463,5.71
20240419,006203,3,24,187323,1.83
20240419,006203,4,8,105697,1.03
20240419,006203,5,4,73000,0.71
20240419,006203,6,3,71000,0.69
20240419,006203,7,0,0,0.00
20240419,006203,8,0,0,0.00
20240419,006203,9,1,57000,0.55
20240419,006203,10,2,249000,2.43
20240419,006203,11,2,630000,6.16
20240419,006203,12,2,923000,9.03
20240419,006203,13,0,0,0.00
20240419,006203,14,1,1000000,9.78
20240419,006203,15,1,6258000,61.24
20240419,006203,16,0,0,0.00
20240419,006203,17,830,10218000,100.00
20240419,006204,1,826,133623,8.90
20240419,006204,2,305,513098,34.20
20240419,006204,3,16,125247,8.34
20240419,006204,4,2,25143,1.67
20240419,006204,5,1,20000,1.33
20240419,006204,6,4,104194,6.94
20240419,006204,7,0,0,0.00
20240419,006204,8,1,45000,3.00
20240419,006204,9,2,121000,8.06
20240419,006204,10,1,147938,9.86
20240419,006204,11,1,264757,17.65
20240419,006204,12,0,0,0.00
20240419,006204,13,0,0,0.00
20240419,006204,14,0,0,0.00
20240419,006204,15,0,0,0.00
20240419,006204,16,0,0,0.00
20240419,006204,17,1159,1500000,100.00
20240419,006205,1,3640,1264586,0.74
20240419,006205,2,7118,16536411,9.70
20240419,006205,3,1773,13366036,7.84
20240419,006205,4,604,7645622,4.48
20240419,006205,5,392,7165755,4.20
20240419,006205,6,328,8322665,4.88
20240419,006205,7,157,5616134,3.29
20240419,006205,8,74,3480619,2.04
20240419,006205,9,172,12457924,7.31
20240419,006205,10,71,10289113,6.03
20240419,006205,11,17,5091121,2.98
20240419,006205,12,5,2358000,1.38
20240419,006205,13,5,3536424,2.07
20240419,006205,14,1,884000,0.51
20240419,006205,15,19,72394590,42.48
20240419,006205,16,0,0,0.00
20240419,006205,17,14376,170409000,100.00
20240419,006206,1,902,270936,0.64
20240419,006206,2,2505,5875969,13.89
20240419,006206,3,604,4763170,11.26
20240419,006206,4,231,2957035,6.99
20240419,006206,5,151,2783207,6.58
20240419,006206,6,129,3336326,7.89
20240419,006206,7,55,1998900,4.72
20240419,006206,8,47,2248910,5.31
20240419,006206,9,74,5388163,12.74
20240419,006206,10,29,4115971,9.73
20240419,006206,11,4,1286000,3.04
20240419,006206,12,3,1547000,3.65
20240419,006206,13,0,0,0.00
20240419,006206,14,0,0,0.00
20240419,006206,15,2,5706413,13.49
20240419,006206,16,0,0,0.00
20240419,006206,17,4736,42278000,100.00
20240419,006207,1,190,45568,0.13
20240419,006207,2,1088,2534007,7.58
20240419,006207,3,293,2394212,7.17
20240419,006207,4,83,1047994,3.13
20240419,006207,5,96,1796867,5.38
20240419,006207,6,73,1953346,5.84
20240419,006207,7,37,1307000,3.91
20240419,006207,8,33,1550502,4.64
20240419,006207,9,58,4373903,13.09
20240419,006207,10,32,4860000,14.55
20240419,006207,11,19,5788839,17.33
20240419,006207,12,4,1942633,5.81
20240419,006207,13,0,0,0.00
20240419,006207,14,0,0,0.00
20240419,006207,15,3,3797129,11.37
20240419,006207,16,0,0,0.00
20240419,006207,17,2009,33392000,100.00
20240419,006208,1,165778,48872108,5.53
20240419,006208,2,125762,267802749,30.32
20240419,006208,3,20916,150031398,16.99
20240419,006208,4,6961,85970096,9.73
20240419,006208,5,3166,55389549,6.27
20240419,006208,6,2477,60571515,6.85
20240419,006208,7,1004,34842516,3.94
20240419,006208,8,491,22175109,2.51
20240419,006208,9,660,44332400,5.02
20240419,006208,10,164,21423145,2.42
20240419,006208,11,38,10567488,1.19
20240419,006208,12,7,3192146,0.36
20240419,006208,13,5,3347000,0.37
20240419,006208,14,4,3549000,0.40
20240419,006208,15,22,71173781,8.06
20240419,006208,16,1,200000,0.02
20240419,006208,17,327455,883040000,100.00
20240419,00625K,1,0,0,0.00
20240419,00625K,2,6,15000,4.13
20240419,00625K,3,1,10000,2.75
20240419,00625K,4,1,12000,3.30
20240419,00625K,5,3,53000,14.60
20240419,00625K,6,1,23000,6.33
20240419,00625K,7,1,40000,11.01
20240419,00625K,8,0,0,0.00
20240419,00625K,9,3,210000,57.85
20240419,00625K,10,0,0,0.00
20240419,00625K,11,0,0,0.00
20240419,00625K,12,0,0,0.00
20240419,00625K,13,0,0,0.00
20240419,00625K,14,0,0,0.00
20240419,00625K,15,0,0,0.00
20240419,00625K,16,0,0,0.00
20240419,00625K,17,16,363000,100.00
20240419,00631L,1,8260,1956338,2.81
20240419,00631L,2,5846,12545173,18.02
20240419,00631L,3,1105,8196817,11.77
20240419,00631L,4,357,4470511,6.42
20240419,00631L,5,193,3458597,4.97
20240419,00631L,6,193,4812154,6.91
20240419,00631L,7,93,3286570,4.72
20240419,00631L,8,37,1672407,2.40
20240419,00631L,9,73,5313282,7.63
20240419,00631L,10,27,3758007,5.40
20240419,00631L,11,15,4281658,6.15
20240419,00631L,12,4,1841000,2.64
20240419,00631L,13,2,1391000,1.99
20240419,00631L,14,2,1669000,2.39
20240419,00631L,15,4,10931486,15.70
20240419,00631L,16,0,0,0.00
20240419,00631L,17,16211,69584000,100.00
20240419,00632R,1,649,159017,0.00
20240419,00632R,2,14051,39598162,0.50
20240419,00632R,3,8480,73222419,0.93
20240419,00632R,4,3766,50177828,0.63
20240419,00632R,5,4415,84046039,1.06
20240419,00632R,6,4594,122484765,1.55
20240419,00632R,7,3111,115175596,1.46
20240419,00632R,8,2761,131560886,1.67
20240419,00632R,9,7050,540954945,6.88
20240419,00632R,10,4798,712750582,9.07
20240419,00632R,11,3243,942227385,11.99
20240419,00632R,12,1256,629621258,8.01
20240419,00632R,13,582,409955600,5.21
20240419,00632R,14,376,343587000,4.37
20240419,00632R,15,1009,3660627518,46.59
20240419,00632R,16,0,0,0.00
20240419,00632R,17,60141,7856149000,100.00
20240419,00633L,1,251,47912,0.01
20240419,00633L,2,3262,8343665,2.54
20240419,00633L,3,1308,10839620,3.30
20240419,00633L,4,570,7507460,2.28
20240419,00633L,5,493,9110353,2.77
20240419,00633L,6,555,14462714,4.40
20240419,00633L,7,336,12164362,3.70
20240419,00633L,8,246,11506023,3.50
20240419,00633L,9,532,38963853,11.88
20240419,00633L,10,279,39007000,11.89
20240419,00633L,11,128,36496000,11.12
20240419,00633L,12,30,14319000,4.36
20240419,00633L,13,22,15476000,4.71
20240419,00633L,14,10,9301000,2.83
20240419,00633L,15,36,100413038,30.61
20240419,00633L,16,0,0,0.00
20240419,00633L,17,8058,327958000,100.00
20240419,00634R,1,36,3374,0.00
20240419,00634R,2,434,1083091,2.17
20240419,00634R,3,139,1182000,2.37
20240419,00634R,4,54,720000,1.44
20240419,00634R,5,47,885000,1.77
20240419,00634R,6,79,2106000,4.23
20240419,00634R,7,35,1255000,2.52
20240419,00634R,8,34,1603000,3.22
20240419,00634R,9,64,4546000,9.13
20240419,00634R,10,38,5752911,11.56
20240419,00634R,11,21,5970000,11.99
20240419,00634R,12,2,1050000,2.11
20240419,00634R,13,4,2707762,5.44
